alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 1, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 1, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 1, reward = -1.0
Primary agent has reached destination!
alpha = 0.25, gamma = 0.75, trial = 1, reward = 12.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 2, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 2, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 2, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 2.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -0.5
alpha = 0.25, gamma = 0.75, trial = 2, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = 0.0
alpha = 0.25, gamma = 0.75, trial = 2, reward = -1.0
